execution_order,phase,scenario,repetition,arm
873,confirmatory,S4,32,A0
874,confirmatory,S4,32,A3
875,confirmatory,S4,32,A5
876,confirmatory,S4,32,A1
877,confirmatory,S4,48,A2
878,confirmatory,S4,48,A3
879,confirmatory,S4,48,A5
880,confirmatory,S4,48,A4
881,confirmatory,S4,48,A0
882,confirmatory,S4,48,A1
883,confirmatory,S4,19,A2
884,confirmatory,S4,19,A4
885,confirmatory,S4,19,A3
886,confirmatory,S4,19,A5
887,confirmatory,S4,19,A1
888,confirmatory,S4,19,A0
889,confirmatory,S3,49,A2
890,confirmatory,S3,49,A0
891,confirmatory,S3,49,A4
892,confirmatory,S3,49,A1
893,confirmatory,S3,49,A5
894,confirmatory,S3,49,A3
895,confirmatory,S1,6,A3
896,confirmatory,S1,6,A5
897,confirmatory,S1,6,A4
898,confirmatory,S1,6,A1
899,confirmatory,S1,6,A2
900,confirmatory,S1,6,A0
901,confirmatory,S1,17,A5
902,confirmatory,S1,17,A1
903,confirmatory,S1,17,A4
904,confirmatory,S1,17,A3
905,confirmatory,S1,17,A0
906,confirmatory,S1,17,A2
907,confirmatory,S2,47,A0
908,confirmatory,S2,47,A3
909,confirmatory,S2,47,A1
910,confirmatory,S2,47,A2
911,confirmatory,S2,47,A4
912,confirmatory,S2,47,A5
913,confirmatory,S4,44,A1
914,confirmatory,S4,44,A0
915,confirmatory,S4,44,A5
916,confirmatory,S4,44,A2
917,confirmatory,S4,44,A3
918,confirmatory,S4,44,A4
919,confirmatory,S2,38,A5
920,confirmatory,S2,38,A3
921,confirmatory,S2,38,A2
922,confirmatory,S2,38,A1
923,confirmatory,S2,38,A4
924,confirmatory,S2,38,A0
925,confirmatory,S2,17,A5
926,confirmatory,S2,17,A1
927,confirmatory,S2,17,A2
928,confirmatory,S2,17,A3
929,confirmatory,S2,17,A0
930,confirmatory,S2,17,A4
931,confirmatory,S1,20,A1
932,confirmatory,S1,20,A3
933,confirmatory,S1,20,A5
934,confirmatory,S1,20,A0
935,confirmatory,S1,20,A2
936,confirmatory,S1,20,A4
937,confirmatory,S2,44,A3
938,confirmatory,S2,44,A5
939,confirmatory,S2,44,A0
940,confirmatory,S2,44,A2
941,confirmatory,S2,44,A4
942,confirmatory,S2,44,A1
943,confirmatory,S3,4,A1
944,confirmatory,S3,4,A2
945,confirmatory,S3,4,A0
946,confirmatory,S3,4,A4
947,confirmatory,S3,4,A5
948,confirmatory,S3,4,A3
949,confirmatory,S2,43,A2
950,confirmatory,S2,43,A0
951,confirmatory,S2,43,A5
952,confirmatory,S2,43,A3
953,confirmatory,S2,43,A4
954,confirmatory,S2,43,A1
955,confirmatory,S4,10,A0
956,confirmatory,S4,10,A1
957,confirmatory,S4,10,A4
958,confirmatory,S4,10,A5
959,confirmatory,S4,10,A3
960,confirmatory,S4,10,A2
961,confirmatory,S2,49,A0
962,confirmatory,S2,49,A1
963,confirmatory,S2,49,A4
964,confirmatory,S2,49,A3
965,confirmatory,S2,49,A5
966,confirmatory,S2,49,A2
967,confirmatory,S1,15,A2
968,confirmatory,S1,15,A3
969,confirmatory,S1,15,A5
970,confirmatory,S1,15,A4
971,confirmatory,S1,15,A0
972,confirmatory,S1,15,A1
973,confirmatory,S3,47,A0
974,confirmatory,S3,47,A1
975,confirmatory,S3,47,A3
976,confirmatory,S3,47,A4
977,confirmatory,S3,47,A5
978,confirmatory,S3,47,A2
979,confirmatory,S1,35,A0
980,confirmatory,S1,35,A4
981,confirmatory,S1,35,A2
982,confirmatory,S1,35,A5
983,confirmatory,S1,35,A3
984,confirmatory,S1,35,A1
985,confirmatory,S1,24,A1
986,confirmatory,S1,24,A3
987,confirmatory,S1,24,A2
988,confirmatory,S1,24,A5
989,confirmatory,S1,24,A4
990,confirmatory,S1,24,A0
991,confirmatory,S3,21,A4
992,confirmatory,S3,21,A5
993,confirmatory,S3,21,A2
994,confirmatory,S3,21,A3
995,confirmatory,S3,21,A1
996,confirmatory,S3,21,A0
997,confirmatory,S4,53,A5
998,confirmatory,S4,53,A4
999,confirmatory,S4,53,A2
1000,confirmatory,S4,53,A3
1001,confirmatory,S4,53,A1
1002,confirmatory,S4,53,A0
1003,confirmatory,S2,5,A4
1004,confirmatory,S2,5,A5
1005,confirmatory,S2,5,A0
1006,confirmatory,S2,5,A3
1007,confirmatory,S2,5,A1
1008,confirmatory,S2,5,A2
1009,confirmatory,S3,54,A0
1010,confirmatory,S3,54,A1
1011,confirmatory,S3,54,A3
1012,confirmatory,S3,54,A2
1013,confirmatory,S3,54,A5
1014,confirmatory,S3,54,A4
1015,confirmatory,S3,18,A3
1016,confirmatory,S3,18,A2
1017,confirmatory,S3,18,A1
1018,confirmatory,S3,18,A0
1019,confirmatory,S3,18,A4
1020,confirmatory,S3,18,A5
1021,confirmatory,S2,28,A5
1022,confirmatory,S2,28,A3
1023,confirmatory,S2,28,A4
1024,confirmatory,S2,28,A2
1025,confirmatory,S2,28,A0
1026,confirmatory,S2,28,A1
1027,confirmatory,S3,20,A5
1028,confirmatory,S3,20,A0
1029,confirmatory,S3,20,A2
1030,confirmatory,S3,20,A3
1031,confirmatory,S3,20,A4
1032,confirmatory,S3,20,A1
1033,confirmatory,S1,19,A0
1034,confirmatory,S1,19,A2
1035,confirmatory,S1,19,A3
1036,confirmatory,S1,19,A5
1037,confirmatory,S1,19,A1
1038,confirmatory,S1,19,A4
1039,confirmatory,S4,41,A3
1040,confirmatory,S4,41,A1
1041,confirmatory,S4,41,A4
1042,confirmatory,S4,41,A2
1043,confirmatory,S4,41,A0
1044,confirmatory,S4,41,A5
1045,confirmatory,S1,23,A3
1046,confirmatory,S1,23,A2
1047,confirmatory,S1,23,A1
1048,confirmatory,S1,23,A0
1049,confirmatory,S1,23,A4
1050,confirmatory,S1,23,A5
1051,confirmatory,S3,43,A3
1052,confirmatory,S3,43,A2
1053,confirmatory,S3,43,A4
1054,confirmatory,S3,43,A5
1055,confirmatory,S3,43,A1
1056,confirmatory,S3,43,A0
1057,confirmatory,S3,32,A2
1058,confirmatory,S3,32,A3
1059,confirmatory,S3,32,A5
1060,confirmatory,S3,32,A1
1061,confirmatory,S3,32,A0
1062,confirmatory,S3,32,A4
1063,confirmatory,S1,40,A3
1064,confirmatory,S1,40,A5
1065,confirmatory,S1,40,A0
1066,confirmatory,S1,40,A4
1067,confirmatory,S1,40,A1
1068,confirmatory,S1,40,A2
1069,confirmatory,S1,41,A0
1070,confirmatory,S1,41,A1
1071,confirmatory,S1,41,A3
1072,confirmatory,S1,41,A2
1073,confirmatory,S1,41,A4
1074,confirmatory,S1,41,A5
1075,confirmatory,S4,31,A5
1076,confirmatory,S4,31,A0
1077,confirmatory,S4,31,A4
1078,confirmatory,S4,31,A3
1079,confirmatory,S4,31,A2
1080,confirmatory,S4,31,A1
1081,confirmatory,S2,8,A4
1082,confirmatory,S2,8,A3
1083,confirmatory,S2,8,A2
1084,confirmatory,S2,8,A5
1085,confirmatory,S2,8,A0
1086,confirmatory,S2,8,A1
1087,confirmatory,S4,52,A1
1088,confirmatory,S4,52,A4
1089,confirmatory,S4,52,A3
1090,confirmatory,S4,52,A2
1091,confirmatory,S4,52,A5
1092,confirmatory,S4,52,A0
1093,confirmatory,S2,51,A2
1094,confirmatory,S2,51,A5
1095,confirmatory,S2,51,A4
1096,confirmatory,S2,51,A1
1097,confirmatory,S2,51,A3
1098,confirmatory,S2,51,A0
1099,confirmatory,S4,34,A2
1100,confirmatory,S4,34,A1
1101,confirmatory,S4,34,A4
1102,confirmatory,S4,34,A0
1103,confirmatory,S4,34,A5
1104,confirmatory,S4,34,A3
1105,confirmatory,S1,45,A1
1106,confirmatory,S1,45,A2
1107,confirmatory,S1,45,A0
1108,confirmatory,S1,45,A3
1109,confirmatory,S1,45,A4
1110,confirmatory,S1,45,A5
1111,confirmatory,S3,38,A3
1112,confirmatory,S3,38,A1
1113,confirmatory,S3,38,A5
1114,confirmatory,S3,38,A0
1115,confirmatory,S3,38,A2
1116,confirmatory,S3,38,A4
1117,confirmatory,S1,8,A0
1118,confirmatory,S1,8,A2
1119,confirmatory,S1,8,A4
1120,confirmatory,S1,8,A3
1121,confirmatory,S1,8,A5
1122,confirmatory,S1,8,A1
1123,confirmatory,S4,6,A2
1124,confirmatory,S4,6,A0
1125,confirmatory,S4,6,A4
1126,confirmatory,S4,6,A3
1127,confirmatory,S4,6,A1
1128,confirmatory,S4,6,A5
1129,confirmatory,S3,40,A2
1130,confirmatory,S3,40,A3
1131,confirmatory,S3,40,A5
1132,confirmatory,S3,40,A1
1133,confirmatory,S3,40,A0
1134,confirmatory,S3,40,A4
1135,confirmatory,S1,32,A4
1136,confirmatory,S1,32,A1
1137,confirmatory,S1,32,A0
1138,confirmatory,S1,32,A5
1139,confirmatory,S1,32,A2
1140,confirmatory,S1,32,A3
1141,confirmatory,S2,22,A1
1142,confirmatory,S2,22,A5
1143,confirmatory,S2,22,A2
1144,confirmatory,S2,22,A0
1145,confirmatory,S2,22,A3
1146,confirmatory,S2,22,A4
1147,confirmatory,S4,27,A3
1148,confirmatory,S4,27,A1
1149,confirmatory,S4,27,A4
1150,confirmatory,S4,27,A2
1151,confirmatory,S4,27,A0
1152,confirmatory,S4,27,A5
1153,confirmatory,S3,39,A4
1154,confirmatory,S3,39,A5
1155,confirmatory,S3,39,A0
1156,confirmatory,S3,39,A1
1157,confirmatory,S3,39,A2
1158,confirmatory,S3,39,A3
1159,confirmatory,S4,26,A2
1160,confirmatory,S4,26,A3
1161,confirmatory,S4,26,A1
1162,confirmatory,S4,26,A0
1163,confirmatory,S4,26,A4
1164,confirmatory,S4,26,A5
1165,confirmatory,S4,43,A3
1166,confirmatory,S4,43,A4
1167,confirmatory,S4,43,A0
1168,confirmatory,S4,43,A5
1169,confirmatory,S4,43,A1
1170,confirmatory,S4,43,A2
1171,confirmatory,S3,13,A1
1172,confirmatory,S3,13,A5
1173,confirmatory,S3,13,A2
1174,confirmatory,S3,13,A3
1175,confirmatory,S3,13,A0
1176,confirmatory,S3,13,A4
1177,confirmatory,S3,26,A5
1178,confirmatory,S3,26,A0
1179,confirmatory,S3,26,A2
1180,confirmatory,S3,26,A1
1181,confirmatory,S3,26,A3
1182,confirmatory,S3,26,A4
1183,confirmatory,S4,7,A1
1184,confirmatory,S4,7,A2
1185,confirmatory,S4,7,A5
1186,confirmatory,S4,7,A0
1187,confirmatory,S4,7,A3
1188,confirmatory,S4,7,A4
1189,confirmatory,S3,17,A0
1190,confirmatory,S3,17,A5
1191,confirmatory,S3,17,A4
1192,confirmatory,S3,17,A1
1193,confirmatory,S3,17,A2
1194,confirmatory,S3,17,A3
1195,confirmatory,S1,39,A0
1196,confirmatory,S1,39,A1
1197,confirmatory,S1,39,A3
1198,confirmatory,S1,39,A2
1199,confirmatory,S1,39,A4
1200,confirmatory,S1,39,A5
1201,confirmatory,S4,33,A0
1202,confirmatory,S4,33,A3
1203,confirmatory,S4,33,A2
1204,confirmatory,S4,33,A5
1205,confirmatory,S4,33,A4
1206,confirmatory,S4,33,A1
1207,confirmatory,S1,44,A2
1208,confirmatory,S1,44,A1
1209,confirmatory,S1,44,A5
1210,confirmatory,S1,44,A4
1211,confirmatory,S1,44,A0
1212,confirmatory,S1,44,A3
1213,confirmatory,S1,38,A1
1214,confirmatory,S1,38,A3
1215,confirmatory,S1,38,A5
1216,confirmatory,S1,38,A2
1217,confirmatory,S1,38,A0
1218,confirmatory,S1,38,A4
1219,confirmatory,S3,10,A2
1220,confirmatory,S3,10,A1
1221,confirmatory,S3,10,A5
1222,confirmatory,S3,10,A0
1223,confirmatory,S3,10,A3
1224,confirmatory,S3,10,A4
1225,confirmatory,S4,1,A4
1226,confirmatory,S4,1,A1
1227,confirmatory,S4,1,A3
1228,confirmatory,S4,1,A5
1229,confirmatory,S4,1,A0
1230,confirmatory,S4,1,A2
1231,confirmatory,S1,53,A3
1232,confirmatory,S1,53,A1
1233,confirmatory,S1,53,A2
1234,confirmatory,S1,53,A0
1235,confirmatory,S1,53,A4
1236,confirmatory,S1,53,A5
1237,confirmatory,S2,33,A1
1238,confirmatory,S2,33,A3
1239,confirmatory,S2,33,A5
1240,confirmatory,S2,33,A0
1241,confirmatory,S2,33,A4
1242,confirmatory,S2,33,A2
1243,confirmatory,S2,30,A2
1244,confirmatory,S2,30,A3
1245,confirmatory,S2,30,A0
1246,confirmatory,S2,30,A5
1247,confirmatory,S2,30,A4
1248,confirmatory,S2,30,A1
1249,confirmatory,S4,40,A1
1250,confirmatory,S4,40,A4
1251,confirmatory,S4,40,A5
1252,confirmatory,S4,40,A2
1253,confirmatory,S4,40,A0
1254,confirmatory,S4,40,A3
1255,confirmatory,S3,52,A1
1256,confirmatory,S3,52,A2
1257,confirmatory,S3,52,A5
1258,confirmatory,S3,52,A3
1259,confirmatory,S3,52,A0
1260,confirmatory,S3,52,A4
1261,confirmatory,S1,47,A5
1262,confirmatory,S1,47,A4
1263,confirmatory,S1,47,A0
1264,confirmatory,S1,47,A3
1265,confirmatory,S1,47,A2
1266,confirmatory,S1,47,A1
1267,confirmatory,S4,23,A1
1268,confirmatory,S4,23,A0
1269,confirmatory,S4,23,A5
1270,confirmatory,S4,23,A4
1271,confirmatory,S4,23,A3
1272,confirmatory,S4,23,A2
1273,confirmatory,S3,30,A1
1274,confirmatory,S3,30,A2
1275,confirmatory,S3,30,A3
1276,confirmatory,S3,30,A0
1277,confirmatory,S3,30,A5
1278,confirmatory,S3,30,A4
1279,confirmatory,S4,4,A2
1280,confirmatory,S4,4,A1
1281,confirmatory,S4,4,A4
1282,confirmatory,S4,4,A3
1283,confirmatory,S4,4,A0
1284,confirmatory,S4,4,A5
1285,confirmatory,S3,50,A0
1286,confirmatory,S3,50,A1
1287,confirmatory,S3,50,A2
1288,confirmatory,S3,50,A3
1289,confirmatory,S3,50,A5
1290,confirmatory,S3,50,A4
1291,confirmatory,S4,39,A4
1292,confirmatory,S4,39,A5
1293,confirmatory,S4,39,A3
1294,confirmatory,S4,39,A2
1295,confirmatory,S4,39,A1
1296,confirmatory,S4,39,A0
